ok	lemma	pos	rank	current	suggested	note
y	contra	preposición	69	Indica oposición o enfrentamiento con algo o alguien.	Indica oposición o enfrentamiento con algo o alguien.	agent ok
y	vez	sustantivo	70	Ocasión o momento en que sucede algo.	Ocasión o momento en que sucede algo.	agent ok
y	persona	sustantivo	71	Ser humano individual con identidad propia.	Ser humano individual con identidad propia.	agent ok
y	nos	pronombre	72	Palabra que representa a nosotros como objeto de una acción.	Representa a nosotros como objeto de una acción.	agent fix: Starts with 'Palabra que'.
y	pasado	sustantivo	73	Tiempo anterior al presente o al ahora.	Tiempo anterior al presente o al ahora.	agent ok
y	tras	preposición	74	Indica posición o tiempo posterior a algo.	Indica posición o tiempo posterior a algo.	agent ok
y	ni	conjunción	75	Palabra que une dos ideas negativas para reforzar la ausencia total.	Une palabras o frases negativas y sirve para negar ambas.	agent fix: Starts with 'Palabra que'.
y	aunque	conjunción	76	Palabra que une dos ideas y muestra una oposición o diferencia.	Presenta una dificultad que no impide lo que se dice.	agent fix: Starts with 'Palabra que'.
y	quien	pronombre	78	Palabra que señala a una persona concreta en una frase.	Se refiere a una persona de la que ya se ha hablado.	agent fix: Starts with 'Palabra que'.
y	tres	numeral	79	Número que indica la cantidad de dos más uno.	Número que indica la cantidad de dos más uno.	agent ok
y	parte	sustantivo	80	Cada una de las piezas que forman un todo junto con otras piezas.	Cada una de las piezas que, junto con otras, forman un todo.	agent fix: 13 words, over the 12-word limit.
y	solo	adverbio	83	Palabra que indica que algo ocurre sin compañía de nadie.	Indica que no hay otra persona ni otra cosa más.	agent fix: Starts with 'Palabra que'; gave only the adjective sense for an adverb entry.
y	durante	preposición	85	Palabra que marca el tiempo en que ocurre algo.	Indica que algo ocurre a lo largo de un tiempo.	agent fix: Starts with 'Palabra que'.
y	menos	adverbio	86	Palabra que indica una cantidad inferior a otra cantidad.	Indica una cantidad más pequeña que otra.	agent fix: Starts with 'Palabra que'.
y	cada	determinante	87	Palabra que señala todos los elementos por separado uno a uno.	Señala uno por uno todos los elementos de un grupo.	agent fix: Starts with 'Palabra que'.
y	día	sustantivo	88	Tiempo que dura la luz del sol en el cielo.	Tiempo que dura la luz del sol en el cielo.	agent ok
y	bien	adverbio	90	Indica que algo se hace de forma correcta.	Indica que algo se hace de forma correcta.	agent ok
y	mismo	adjetivo	91	Indica que es exactamente ese y no uno diferente.	Indica que es exactamente ese y no uno diferente.	agent ok
y	otro	determinante	92	Indica persona o cosa diferente de la que se habla.	Indica persona o cosa diferente de la que se habla.	agent ok
y	mundo	sustantivo	93	Conjunto de todo lo que existe fuera de uno.	La Tierra con todos sus países y personas.	agent fix: 'Todo lo que existe fuera de uno' is odd and not the basic sense.
y	hoy	adverbio	94	En el día actual o en el presente.	En el día actual o en el presente.	agent ok
y	mi	determinante	96	Indica que algo pertenece a quien habla.	Indica que algo pertenece a quien habla.	agent ok
y	mejor	adjetivo	98	Que supera a los demás en calidad o en valor.	Que supera a los demás en calidad o en valor.	agent ok
y	primero	adjetivo	99	Que está antes que los demás en orden o tiempo.	Que está antes que los demás en orden o tiempo.	agent ok
y	hecho	sustantivo	100	Suceso o acontecimiento que ha ocurrido.	Suceso o acontecimiento que ha ocurrido.	agent ok
y	hora	sustantivo	101	Cada una de las partes en que se divide un día.	Medida de tiempo mayor que el minuto y menor que el día.	agent fix: sesenta and veinticuatro are not in the book
y	qué	pronombre	102	Se usa para preguntar por algo desconocido.	Se usa para preguntar por algo desconocido.	agent ok
y	ante	preposición	103	Indica posición delante de algo o alguien.	Indica posición delante de algo o alguien.	agent ok
y	caso	sustantivo	104	Situación o asunto que se estudia o resuelve.	Situación o asunto que se estudia o resuelve.	agent ok
y	vida	sustantivo	105	Conjunto de actividades y hechos que vive alguien.	Tiempo que va desde nacer hasta morir.	agent fix: Used family word 'vive'; not the basic sense (the time a being is alive).
y	él	pronombre	107	Palabra que señala a una persona de sexo de hombre.	Señala a un hombre o cosa de la que se habla.	agent fix: Starts with 'Palabra que'; 'de sexo de hombre' is ungrammatical; omits things.
y	presidente	sustantivo	109	Persona que dirige un país o una organización.	Persona que dirige un país o una organización.	agent ok
y	grande	adjetivo	110	Que tiene tamaño o importancia superior a lo normal.	Que tiene tamaño o importancia superior a lo normal.	agent ok
y	mucho	adjetivo	112	Que se presenta en cantidad elevada o grande.	Que se presenta en cantidad elevada o grande.	agent ok
y	tiempo	sustantivo	113	Duración medida en horas, días o años.	Duración medida en horas, días o años.	agent ok
y	gobierno	sustantivo	115	Grupo que dirige un país o territorio.	Grupo que dirige un país o territorio.	agent ok
y	antes	adverbio	117	Momento o período anterior a otro.	En un momento anterior a otro.	agent fix: Adverb defined as a noun ('Momento o período').
y	equipo	sustantivo	119	Grupo de personas que trabajan juntas para un fin.	Grupo de personas que trabajan juntas para un fin.	agent ok
y	nuevo	adjetivo	120	Que se ve o se usa por primera vez.	Que se ve o se usa por primera vez.	agent ok
y	siempre	adverbio	121	En todo momento o en todas las ocasiones.	En todo momento o en todas las ocasiones.	agent ok
y	lugar	sustantivo	123	Espacio o sitio donde se encuentra algo.	Espacio o sitio donde se encuentra algo.	agent ok
y	algo	pronombre	125	Cosa o asunto que no se dice de forma precisa.	Cosa o asunto que no se dice de forma precisa.	agent ok
y	poco	adjetivo	126	Cantidad pequeña o escasa de algo.	Que es escaso o se presenta en cantidad pequeña.	agent fix: Adjective defined as a noun.
y	ciento	numeral	127	Número que vale cien unidades.	Número que es diez veces diez.	agent fix: Uses family word 'cien'.
y	yo	pronombre	129	Palabra que usa la persona que habla de sí misma.	Señala a la persona que habla.	agent fix: Starts with 'Palabra que'.
y	nada	pronombre	130	Ninguna cosa o asunto de ningún tipo.	Ninguna cosa o asunto de ningún tipo.	agent ok
y	partido	sustantivo	131	Encuentro entre dos equipos que juegan.	Encuentro entre dos equipos que juegan.	agent ok
y	ir	verbo	133	Moverse de un lugar hacia otro.	Moverse de un lugar hacia otro.	agent ok
y	alguno	determinante	134	Indica una cantidad o persona no concreta.	Indica una cantidad o persona no concreta.	agent ok
y	forma	sustantivo	135	Aspecto exterior que separa algo de otros.	Figura o aspecto exterior de una cosa.	agent fix: 'Separa algo de otros' is wrong/unnatural.
y	mientras	conjunción	136	Indica que dos acciones ocurren al mismo tiempo.	Indica que dos acciones ocurren al mismo tiempo.	agent ok
y	mayor	adjetivo	137	Que supera a otro en tamaño o cantidad.	Que supera a otro en tamaño o cantidad.	agent ok
y	luego	adverbio	138	Indica que algo sucede después de otra cosa.	Indica que algo sucede después de otra cosa.	agent ok
y	mil	numeral	139	Número equivalente a diez veces cien.	Número equivalente a diez veces cien.	agent ok
y	euro	sustantivo	140	Moneda de varios países de europa.	Moneda que usan muchos países europeos.	agent fix: 'Europa' is not in the book and this is not a nationality word; 'europeos' is
y	ciudad	sustantivo	141	Lugar grande con muchas casas y habitantes.	Lugar grande con muchas casas y habitantes.	agent ok
y	ver	verbo	144	Percibir algo con los ojos.	Recibir con los ojos la imagen de algo.	agent ok
y	sí	adverbio	145	Palabra que afirma o confirma algo.	Se usa para afirmar o para decir que algo es cierto.	agent fix: Starts with 'Palabra que'.
y	final	sustantivo	147	Última parte de un proceso o competición.	Última parte de un proceso o competición.	agent ok
y	acuerdo	sustantivo	149	Decisión que aceptan varias personas.	Decisión que aceptan varias personas.	agent ok
y	cuatro	numeral	150	Número que sigue al tres.	Número que sigue al tres.	agent ok
y	grupo	sustantivo	151	Conjunto de personas o cosas juntas.	Conjunto de personas o cosas juntas.	agent ok
y	cuenta	sustantivo	152	Cálculo que indica una cantidad.	Cálculo que indica una cantidad.	agent ok
y	momento	sustantivo	154	Tiempo muy breve o preciso.	Tiempo muy breve o preciso.	agent ok
y	trabajo	sustantivo	157	Actividad que se hace para producir algo.	Actividad que se hace para producir algo.	agent ok
y	gente	sustantivo	159	Conjunto de personas en general.	Conjunto de personas en general.	agent ok
y	mes	sustantivo	160	Cada una de las doce partes del año.	Cada una de las doce partes del año.	agent ok
y	ello	pronombre	161	Palabra que señala cosa o idea dicha antes.	Señala una cosa o idea dicha antes.	agent fix: Starts with 'Palabra que'.
y	semana	sustantivo	162	Período de siete días consecutivos.	Período de siete días consecutivos.	agent ok
y	deber	verbo	163	Indica obligación de hacer algo.	Indica obligación de hacer algo.	agent ok
y	cinco	numeral	164	Número que sigue a cuatro en la cuenta.	Número que sigue a cuatro en la cuenta.	agent ok
y	sino	conjunción	166	Palabra que marca diferencia o excepción.	Presenta la idea correcta después de negar otra.	agent fix: Starts with 'Palabra que'; too vague.
y	tanto	adverbio	167	Indica grado o cantidad elevada.	Indica grado o cantidad elevada.	agent ok
y	estado	sustantivo	168	Situación o condición en que se encuentra algo.	Situación o condición en que se encuentra algo.	agent ok
y	casi	adverbio	170	Indica proximidad sin llegar a ser.	Indica que falta poco para llegar a algo.	agent ok
y	tan	adverbio	172	Indica grado o intensidad alta.	Indica grado o intensidad alta.	agent ok
y	aún	adverbio	174	Indica que algo continúa o sigue.	Indica que algo continúa o sigue.	agent ok
y	seguridad	sustantivo	176	Situación sin peligro ni riesgo.	Situación sin peligro ni riesgo.	agent ok
y	cosa	sustantivo	178	Objeto material o no material cualquiera.	Objeto material o no material cualquiera.	agent ok
y	crisis	sustantivo	179	Momento grave de cambio o dificultad.	Momento grave de cambio o dificultad.	agent ok
y	casa	sustantivo	181	Edificio para vivir una familia.	Edificio donde vive una persona o una familia.	agent fix: Ungrammatical: 'para vivir una familia'.
y	dólar	sustantivo	183	Moneda de varios países americanos.	Moneda de varios países americanos.	agent ok
y	manera	sustantivo	184	Forma de hacer o suceder algo.	Forma de hacer o suceder algo.	agent ok
y	punto	sustantivo	185	Lugar concreto o detalle preciso.	Señal muy pequeña que se hace al escribir.	agent fix: Not the basic sense (the dot/mark).
y	cómo	adverbio	186	Indica el modo en que sucede algo.	Indica el modo en que sucede algo.	agent ok
y	nunca	adverbio	187	En ningún momento o tiempo.	En ningún momento o tiempo.	agent ok
y	política	sustantivo	189	Actividad para gobernar un país.	Actividad para gobernar un país.	agent ok
y	te	pronombre	190	Se usa para dirigirse a la persona con quien se habla.	Se usa para dirigirse a la persona con quien se habla.	agent ok
y	frente	sustantivo	194	Parte delantera de la cabeza sobre los ojos.	Parte delantera de la cabeza sobre los ojos.	agent ok
y	cualquier	determinante	195	Indica una cosa sin importar cuál sea.	Indica una cosa sin importar cuál sea.	agent ok
y	situación	sustantivo	196	Conjunto de condiciones en que se encuentra alguien o algo.	Conjunto de condiciones en que se encuentra alguien o algo.	agent ok
y	minuto	sustantivo	197	Parte de una hora.	Parte de una hora, más larga que un segundo.	agent fix: Too vague: 'parte de una hora' also fits segundo.
y	segundo	adjetivo	198	Que sigue en orden al primero.	Que sigue en orden al primero.	agent ok
y	número	sustantivo	199	Cantidad que se expresa con cifras.	Cantidad que se expresa con cifras.	agent ok
y	esto	pronombre	200	Señala algo cercano a quien habla.	Señala algo cercano a quien habla.	agent ok
y	zona	sustantivo	201	Espacio o región con características propias.	Espacio o región con características propias.	agent ok
y	medio	sustantivo	202	Parte central de algo entre sus extremos.	Parte central de algo entre sus extremos.	agent ok
y	ayer	adverbio	203	Día anterior al de hoy.	Día anterior al de hoy.	agent ok
y	fin	sustantivo	204	Punto en que algo termina.	Punto en que algo termina.	agent ok
y	ella	pronombre	205	Palabra que señala a una mujer o cosa femenina.	Señala a una mujer o a una cosa femenina ya dicha.	agent fix: Starts with 'Palabra que'.
y	pues	conjunción	206	Palabra que sirve para dar una explicación.	Sirve para dar una causa o una explicación.	agent fix: Starts with 'Palabra que'.
y	creer	verbo	207	Pensar que algo es verdad.	Pensar que algo es verdad.	agent ok
y	cambio	sustantivo	208	Acción de poner una cosa en lugar de otra.	Paso de una situación o estado a otro diferente.	agent fix: Gave the narrow 'replacement' sense, not the basic 'change'.
y	parecer	verbo	209	Dar cierta impresión o aspecto.	Dar cierta impresión o aspecto.	agent ok
y	general	adjetivo	210	Que afecta a la mayoría o al todo.	Que afecta a la mayoría o al todo.	agent ok
y	hacia	preposición	211	Preposición que indica el lugar al que uno va.	Indica la dirección en la que va algo o alguien.	agent ok
y	incluso	adverbio	212	Palabra que añade algo que sorprende.	Añade algo que sorprende o que no se espera.	agent fix: Starts with 'Palabra que'.
y	varios	determinante	213	Más de uno pero no muchos.	Más de uno pero no muchos.	agent ok
y	dar	verbo	215	Entregar algo a alguien.	Entregar algo a alguien.	agent ok
y	seis	numeral	217	Número que sigue a cinco.	Número que sigue a cinco.	agent ok
y	público	sustantivo	218	Conjunto de personas que va a un acto.	Conjunto de personas que va a un acto.	agent ok
y	mayoría	sustantivo	219	Parte más grande de un grupo.	Parte más grande de un grupo.	agent ok
y	información	sustantivo	221	Datos que permiten conocer algo.	Datos que permiten conocer algo.	agent ok
y	tipo	sustantivo	222	Clase o grupo con características comunes.	Clase o grupo con características comunes.	agent ok
y	ejemplo	sustantivo	223	Hecho que sirve de modelo.	Caso que se muestra para ayudar a entender algo.	agent fix: 'Hecho que sirve de modelo' is not the sense learners meet (por ejemplo).
y	dinero	sustantivo	225	Medio para pagar bienes y servicios.	Medio para pagar bienes y servicios.	agent ok
y	empresa	sustantivo	226	Organización que produce bienes o servicios para obtener beneficio.	Organización que produce bienes o servicios para obtener beneficio.	agent ok
y	sistema	sustantivo	227	Conjunto de elementos que funcionan juntos de forma clara.	Conjunto de partes que funcionan juntas para un fin.	agent fix: 'De forma clara' is meaningless.
y	cual	pronombre	230	Palabra que añade información sobre algo.	Se refiere a algo dicho antes y añade información sobre ello.	agent fix: Starts with 'Palabra que'.
y	problema	sustantivo	231	Situación difícil que se debe resolver o superar.	Situación difícil que se debe resolver o superar.	agent ok
y	aquí	adverbio	235	En este lugar concreto o en esta situación.	En este lugar concreto o en esta situación.	agent ok
y	nadie	pronombre	236	Ninguna persona en absoluto.	Ninguna persona en absoluto.	agent ok
y	posible	adjetivo	237	Que se puede hacer o que puede ocurrir.	Que se puede hacer o que puede ocurrir.	agent ok
y	hombre	sustantivo	238	Persona mayor de sexo varón.	Ser humano varón y adulto.	agent fix: 'Sexo varón' is wrong Spanish; 'persona mayor' means elderly.
y	importante	adjetivo	240	Que tiene mucho valor o gran influencia.	Que tiene mucho valor o gran influencia.	agent ok
y	prensa	sustantivo	241	Medio que da noticias en periódicos o revistas.	Medio que da noticias en periódicos o revistas.	agent ok
y	agregar	verbo	243	Unir una cosa a otra ya existente.	Unir una cosa a otra ya existente.	agent ok
y	viernes	sustantivo	244	Quinto día de la semana, después de jueves.	Quinto día de la semana, entre el jueves y el sábado.	agent fix: Unnatural 'después de jueves' (missing article).
y	señalar	verbo	245	Indicar algo con el dedo o con palabras.	Indicar algo con el dedo o con palabras.	agent ok
y	familia	sustantivo	246	Grupo de personas con unión de sangre o matrimonio.	Grupo de personas con unión de sangre o matrimonio.	agent ok
y	mujer	sustantivo	247	Persona mayor de sexo femenino.	Ser humano adulto de sexo femenino.	agent fix: 'Persona mayor' means elderly, not adult.
y	ex	adjetivo	248	Que ya no ocupa el cargo o posición anterior.	Que ya no ocupa el cargo o posición anterior.	agent ok
y	mañana	sustantivo	249	Tiempo que sigue a la noche y va antes del mediodía.	Tiempo que sigue a la noche y va antes del mediodía.	agent ok
y	nivel	sustantivo	250	Altura o grado que alcanza algo.	Altura o grado que alcanza algo.	agent ok
y	historia	sustantivo	252	Relato de hechos ocurridos en el pasado.	Relato de hechos ocurridos en el pasado.	agent ok
y	mercado	sustantivo	254	Lugar donde se compran y venden productos.	Lugar donde se compran y venden productos.	agent ok
y	proceso	sustantivo	255	Serie de pasos para conseguir un resultado.	Serie de pasos para conseguir un resultado.	agent ok
y	noche	sustantivo	256	Tiempo entre la puesta y la salida del sol.	Tiempo entre la puesta y la salida del sol.	agent ok
y	ley	sustantivo	257	Norma que obliga a todos los ciudadanos.	Norma que obliga a todos los ciudadanos.	agent ok
y	querer	verbo	260	Sentir deseo o necesidad de algo.	Sentir deseo o necesidad de algo.	agent ok
y	centro	sustantivo	262	Punto medio o lugar principal de algo.	Punto medio o lugar principal de algo.	agent ok
y	cerca	adverbio	263	A poca distancia de un lugar.	A poca distancia de un lugar.	agent ok
y	capital	sustantivo	264	Ciudad donde se encuentra el gobierno.	Ciudad donde se encuentra el gobierno.	agent ok
y	programa	sustantivo	268	Plan con actividades para conseguir algo.	Plan con actividades para conseguir algo.	agent ok
y	policía	sustantivo	272	Cuerpo que mantiene el orden público.	Cuerpo que mantiene el orden público.	agent ok
y	próximo	adjetivo	275	Que está inmediatamente después en el tiempo.	Que está inmediatamente después en el tiempo.	agent ok
y	lunes	sustantivo	278	Primer día de la semana laboral.	Primer día de la semana laboral.	agent ok
y	juego	sustantivo	280	Partido entre dos equipos o personas.	Actividad con reglas que se hace para pasar un buen rato.	agent fix: Defined as 'partido'; basic sense is play/game activity.
y	asegurar	verbo	281	Hacer cierta una cosa futura.	Decir algo con seguridad o hacer que algo sea seguro.	agent fix: 'Hacer cierta una cosa futura' is unclear and wrong.
y	seguir	verbo	282	Ir detrás de algo o alguien.	Ir detrás de algo o alguien.	agent ok
y	decisión	sustantivo	283	Elección que se toma tras pensar.	Elección que se toma tras pensar.	agent ok
y	último	adjetivo	285	Que está después de todos los demás.	Que está después de todos los demás.	agent ok
y	igual	adjetivo	287	Que tiene las mismas características.	Que tiene las mismas características.	agent ok
y	explicar	verbo	288	Hacer entender algo a otros.	Hacer entender algo a otros.	agent ok
y	domingo	sustantivo	289	Séptimo y último día de la semana.	Séptimo y último día de la semana.	agent ok
y	esperar	verbo	290	Confiar en que algo ocurra.	Quedarse en un lugar hasta que alguien llegue o algo ocurra.	agent fix: Gave only 'hope'; basic sense 'wait' missing.
y	comunicado	sustantivo	292	Escrito oficial que informa algo importante.	Escrito oficial que informa algo importante.	agent ok
y	claro	adjetivo	293	Que se ve o entiende con facilidad.	Que se ve o entiende con facilidad.	agent ok
y	líder	sustantivo	294	Persona que dirige un grupo o equipo.	Persona que dirige un grupo o equipo.	agent ok
y	llegar	verbo	297	Alcanzar un lugar después de viajar.	Alcanzar un lugar después de viajar.	agent ok
y	paso	sustantivo	299	Movimiento que se hace al andar.	Movimiento que se hace al andar.	agent ok
y	elección	sustantivo	300	Acto de elegir personas para cargos.	Acción de tomar una cosa entre varias, o votación para un cargo.	agent fix: Uses family word 'elegir'.
y	enero	sustantivo	301	Primer mes del año.	Primer mes del año.	agent ok
y	niño	sustantivo	302	Persona de poca edad.	Persona de poca edad.	agent ok
y	social	adjetivo	303	Que tiene que ver con la vida en grupo.	Que tiene que ver con la vida en grupo.	agent ok
y	autoridad	sustantivo	304	Persona o grupo que manda o decide.	Persona o grupo que manda o decide.	agent ok
y	jueves	sustantivo	306	Quinto día de la semana, entre miércoles y viernes.	Cuarto día de la semana, entre el miércoles y el viernes.	agent fix: Wrong: jueves is the fourth day, not the fifth.
y	indicar	verbo	307	Señalar algo para que otro lo conozca o siga.	Señalar algo para que otro lo conozca o siga.	agent ok
y	apoyo	sustantivo	308	Ayuda que una persona da a otra.	Ayuda que una persona da a otra.	agent ok
y	joven	sustantivo	309	Persona que está en la etapa entre niño y adulto.	Persona que está en la etapa entre niño y adulto.	agent ok
y	bueno	adjetivo	310	Que tiene aspectos positivos o es de calidad.	Que tiene aspectos positivos o es de calidad.	agent ok
y	dentro	adverbio	311	En la parte interior de algo.	En la parte interior de algo.	agent ok
y	ambos	determinante	312	Uno y otro, los dos al mismo tiempo.	Uno y otro, los dos al mismo tiempo.	agent ok
y	muerte	sustantivo	313	Fin de la vida de un ser vivo.	Fin de la vida de un ser vivo.	agent ok
y	proyecto	sustantivo	314	Plan detallado para hacer algo en el futuro.	Plan detallado para hacer algo en el futuro.	agent ok
y	junto	adjetivo	315	Que está cerca o al lado de algo.	Que está cerca o al lado de algo.	agent ok
y	agua	sustantivo	317	Líquido que se bebe y no tiene color ni sabor.	Líquido que se bebe y no tiene color ni sabor.	agent ok
y	nacional	adjetivo	318	Que tiene que ver con el país propio y no con otros.	Que tiene que ver con el país propio y no con otros.	agent ok
y	falta	sustantivo	319	Ausencia o escasez de algo necesario.	Ausencia o escasez de algo necesario.	agent ok
y	sábado	sustantivo	320	Séptimo y último día de la semana.	Sexto día de la semana, entre el viernes y el domingo.	agent fix: Wrong: sábado is the sixth day (domingo is seventh and last).
y	nombre	sustantivo	321	Palabra que sirve para conocer a una persona o cosa.	Palabra con la que se llama a una persona o cosa.	agent fix: Starts with 'Palabra que'; 'conocer' is the wrong verb.
y	asimismo	adverbio	322	Indica que algo ocurre de igual modo.	Indica que algo ocurre de igual modo.	agent ok
y	mayo	sustantivo	323	Quinto mes del año con treinta y un días.	Quinto mes del año con treinta y un días.	agent ok
y	miércoles	sustantivo	324	Cuarto día de la semana entre martes y jueves.	Tercer día de la semana, entre el martes y el jueves.	agent fix: Wrong: miércoles is the third day, not the fourth.
y	julio	sustantivo	325	Séptimo mes del año con treinta y un días.	Séptimo mes del año con treinta y un días.	agent ok
y	derecho	sustantivo	326	Conjunto de normas que permiten la convivencia.	Lo que la ley permite a una persona hacer o pedir.	agent fix: Gave 'law' (conjunto de normas); basic sense is 'a right'.
y	ministro	sustantivo	327	Miembro del gobierno que dirige un ministerio.	Miembro del gobierno que dirige un ministerio.	agent ok [family flag: ministerio]
y	puesto	sustantivo	328	Lugar o empleo que ocupa una persona.	Lugar o empleo que ocupa una persona.	agent ok
y	servicio	sustantivo	329	Actividad que ayuda o hace bien a alguien.	Actividad que ayuda o hace bien a alguien.	agent ok
y	campaña	sustantivo	331	Acción organizada para conseguir un objetivo.	Acción organizada para conseguir un objetivo.	agent ok
y	nuestro	determinante	332	Que nos pertenece a nosotros.	Que nos pertenece a nosotros.	agent ok
y	marzo	sustantivo	333	Tercer mes del año.	Tercer mes del año.	agent ok
y	fuerza	sustantivo	334	Capacidad para mover o levantar algo.	Capacidad para mover o levantar algo.	agent ok
